epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,52.08,1.41693,1.2819,0.95972,0.74382,0.44451,0.49439,0.27253,3.36439,3.18562,5.54281,0.000945357,0.000945357,0.000945357
43,53.1519,1.27674,1.09242,0.95748,0.74382,0.44451,0.49439,0.27253,3.36439,3.18562,5.54281,0.000962124,0.000962124,0.000962124
44,54.2232,1.86141,1.47024,1.04125,0.83364,0.45957,0.52507,0.28043,3.57875,3.23235,4.93418,0.000978608,0.000978608,0.000978608
45,55.23,1.31111,1.13008,0.9736,0.83364,0.45957,0.52507,0.28043,3.57875,3.23235,4.93418,0.00099481,0.00099481,0.00099481
46,56.27,1.66709,1.20261,1.01186,0.82282,0.44839,0.52428,0.28687,3.74539,3.23764,4.69297,0.00101073,0.00101073,0.00101073
47,57.2784,1.27917,1.16221,1.00934,0.82282,0.44839,0.52428,0.28687,3.74539,3.23764,4.69297,0.00102636,0.00102636,0.00102636
48,58.3261,1.29485,1.03454,0.99006,0.82942,0.45342,0.53245,0.29469,3.7956,3.23113,4.89375,0.00104172,0.00104172,0.00104172
49,59.3679,1.37625,1.09103,0.9934,0.82942,0.45342,0.53245,0.29469,3.7956,3.23113,4.89375,0.00105679,0.00105679,0.00105679
50,60.4213,1.47636,1.07923,0.95611,0.80003,0.44053,0.53414,0.3022,3.8339,3.26894,4.86708,0.00107157,0.00107157,0.00107157
51,61.4605,1.14726,1.02146,1.00194,0.80003,0.44053,0.53414,0.3022,3.8339,3.26894,4.86708,0.00107532,0.00107532,0.00107532
52,62.546,1.23901,1.19561,0.99063,0.80293,0.46336,0.53789,0.29273,3.90918,3.24268,5.06273,0.00106825,0.00106825,0.00106825
53,63.5656,1.52889,1.24581,0.95201,0.80293,0.46336,0.53789,0.29273,3.90918,3.24268,5.06273,0.00106118,0.00106118,0.00106118
54,64.593,1.24964,1.02836,1.00712,0.83432,0.47186,0.54988,0.30362,4.0527,3.27288,4.49301,0.0010541,0.0010541,0.0010541
55,65.62,1.1298,1.10633,0.96522,0.83432,0.47186,0.54988,0.30362,4.0527,3.27288,4.49301,0.00104703,0.00104703,0.00104703
56,66.6721,1.574,1.16844,1.03275,0.79957,0.46337,0.5558,0.29535,4.06871,3.30283,4.38742,0.00103995,0.00103995,0.00103995
57,67.6962,1.35295,1.07617,0.93981,0.79957,0.46337,0.5558,0.29535,4.06871,3.30283,4.38742,0.00103288,0.00103288,0.00103288
58,68.757,1.61336,1.13457,0.98,0.77896,0.45811,0.54642,0.28807,4.09601,3.35953,4.31579,0.00102581,0.00102581,0.00102581
59,69.7609,1.47343,1.62968,1.08719,0.77896,0.45811,0.54642,0.28807,4.09601,3.35953,4.31579,0.00101873,0.00101873,0.00101873
60,70.9228,1.46261,1.2972,1.03389,0.76831,0.45968,0.54661,0.28682,4.12196,3.44564,4.31539,0.00101166,0.00101166,0.00101166
61,72.3952,1.68061,1.20053,0.96069,0.76831,0.45968,0.54661,0.28682,4.12196,3.44564,4.31539,0.00100459,0.00100459,0.00100459
