epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.091,2.36059,4.01969,1.42113,0.04979,0.07817,0.02451,0.011,1.67499,3.84624,1.76913,1.429e-05,1.429e-05,1.429e-05
2,94.6201,2.38768,4.33099,1.39256,0.07443,0.09512,0.03855,0.01809,1.57134,3.95383,1.68679,4.26578e-05,4.26578e-05,4.26578e-05
3,103.437,1.95112,3.76434,1.20052,0.12426,0.17663,0.06982,0.03129,1.60484,4.42677,1.69056,7.07426e-05,7.07426e-05,7.07426e-05
4,109.938,1.91735,3.02086,1.43769,0.28308,0.15822,0.16762,0.06664,1.63431,4.76669,1.71325,9.85446e-05,9.85446e-05,9.85446e-05
5,115.29,1.82127,3.02677,1.26649,0.18985,0.33878,0.2364,0.10351,1.66625,6.98101,1.82324,0.000126064,0.000126064,0.000126064
6,120.472,1.78122,1.90851,1.18267,0.39182,0.43515,0.31684,0.18075,1.56964,7.90909,1.71135,0.0001533,0.0001533,0.0001533
7,125.492,1.56602,1.54208,1.11815,0.29382,0.38762,0.3,0.18124,1.73253,9.24817,1.96435,0.000180253,0.000180253,0.000180253
8,130.738,1.64942,1.67658,1.12696,0.27927,0.46146,0.27998,0.14446,1.7683,16.1718,2.17968,0.000206923,0.000206923,0.000206923
9,135.721,1.70187,1.43552,1.15839,0.27385,0.55446,0.27767,0.14768,1.86564,31.3803,2.25754,0.00023331,0.00023331,0.00023331
10,140.78,1.77764,1.54589,1.02723,0.28055,0.63627,0.25235,0.14425,2.29154,inf,2.50451,0.000259414,0.000259414,0.000259414
11,149.957,1.42729,1.06369,1.10628,0.08008,0.7583,0.06581,0.035,2.72501,inf,5.97166,0.000285236,0.000285236,0.000285236
12,161.013,1.67487,1.1528,1.13756,0.44274,0.46153,0.30315,0.18358,2.78378,57.4237,2.92969,0.000310774,0.000310774,0.000310774
13,169.896,1.56401,1.10505,1.16917,0.2729,0.47897,0.31449,0.18422,2.76568,114.349,3.18807,0.000336029,0.000336029,0.000336029
14,176.347,1.33982,0.96887,0.97666,0.44781,0.46993,0.36835,0.22624,2.53407,70.3599,3.38833,0.000361002,0.000361002,0.000361002
15,182.13,1.62326,1.23061,1.02447,0.26216,0.40331,0.2339,0.14756,2.46113,55.7364,5.65223,0.000385691,0.000385691,0.000385691
16,187.692,1.29468,0.90624,0.98623,0.15609,0.63433,0.13098,0.06695,2.41715,inf,15.0369,0.000410098,0.000410098,0.000410098
17,192.88,1.35256,0.87832,0.95412,0.05145,0.72011,0.05886,0.02629,2.42674,inf,46.4621,0.000434222,0.000434222,0.000434222
18,205.833,1.32597,0.8859,1.00969,0.1219,0.49566,0.0893,0.04995,2.76126,86.0849,22.4265,0.000458062,0.000458062,0.000458062
